count,name,search
100,classic rock,The%20Beatles
71,rock,The%20Beatles
58,british,The%20Beatles
56,60s,The%20Beatles
41,pop,The%20Beatles
100,classic rock,The%20Rolling%20Stones
80,rock,The%20Rolling%20Stones
43,british,The%20Rolling%20Stones
41,60s,The%20Rolling%20Stones
30,blues,The%20Rolling%20Stones
100,female vocalists,Barbra%20Streisand
81,pop,Barbra%20Streisand
46,80s,Barbra%20Streisand
37,70s,Barbra%20Streisand
100,rock n roll,Elvis%20Presley
83,classic rock,Elvis%20Presley
58,rock,Elvis%20Presley
57,oldies,Elvis%20Presley
51,rock and roll,Elvis%20Presley
100,rap,Eminem
78,hip-hop,Eminem
33,hip hop,Eminem
16,pop,Eminem
100,pop,Elton%20John
87,classic rock,Elton%20John
64,singer-songwriter,Elton%20John
59,rock,Elton%20John
54,piano,Elton%20John
100,pop,Michael%20Jackson
50,80s,Michael%20Jackson
41,dance,Michael%20Jackson
36,soul,Michael%20Jackson
34,funk,Michael%20Jackson
100,progressive rock,Pink%20Floyd
79,classic rock,Pink%20Floyd
72,psychedelic rock,Pink%20Floyd
53,rock,Pink%20Floyd
44,psychedelic,Pink%20Floyd
100,country,George%20Strait
29,classic country,George%20Strait
14,male country,George%20Strait
100,classic rock,The%20Beach%20Boys
86,60s,The%20Beach%20Boys
85,pop,The%20Beach%20Boys
71,surf,The%20Beach%20Boys
66,rock,The%20Beach%20Boys
100,classic rock,Journey
68,rock,Journey
56,80s,Journey
44,hard rock,Journey
33,progressive rock,Journey
100,classic rock,Led%20Zeppelin
64,rock,Led%20Zeppelin
63,hard rock,Led%20Zeppelin
36,70s,Led%20Zeppelin
33,progressive rock,Led%20Zeppelin
100,country,Garth%20Brooks
14,singer-songwriter,Garth%20Brooks
13,90s,Garth%20Brooks
12,male vocalists,Garth%20Brooks
100,singer-songwriter,Neil%20Diamond
84,classic rock,Neil%20Diamond
70,pop,Neil%20Diamond
66,soft rock,Neil%20Diamond
47,rock,Neil%20Diamond
100,country,Alan%20Jackson
15,singer-songwriter,Alan%20Jackson
10,90s,Alan%20Jackson
100,country,Tim%20McGraw
21,modern country,Tim%20McGraw
17,male vocalists,Tim%20McGraw
7,male,Tim%20McGraw
100,classic rock,Rod%20Stewart
79,rock,Rod%20Stewart
53,70s,Rod%20Stewart
51,soft rock,Rod%20Stewart
51,pop,Rod%20Stewart
100,rock,U2
44,classic rock,U2
38,irish,U2
33,pop,U2
31,alternative,U2
100,thrash metal,Metallica
91,metal,Metallica
74,heavy metal,Metallica
41,hard rock,Metallica
34,rock,Metallica
100,soul,The%20Temptations
74,motown,The%20Temptations
46,funk,The%20Temptations
36,oldies,The%20Temptations
23,rnb,The%20Temptations
100,hip-hop,Drake
72,rap,Drake
50,rnb,Drake
37,canadian,Drake
37,hip hop,Drake
100,country,Taylor%20Swift
71,pop,Taylor%20Swift
60,female vocalists,Taylor%20Swift
41,singer-songwriter,Taylor%20Swift
31,acoustic,Taylor%20Swift
100,jazz,Frank%20Sinatra
67,swing,Frank%20Sinatra
44,oldies,Frank%20Sinatra
35,vocal jazz,Frank%20Sinatra
27,easy listening,Frank%20Sinatra
100,classic rock,Chicago
65,rock,Chicago
43,70s,Chicago
43,80s,Chicago
33,pop,Chicago
100,classic rock,Eagles
62,rock,Eagles
42,70s,Eagles
30,soft rock,Eagles
26,country,Eagles
100,classic rock,Fleetwood%20Mac
67,rock,Fleetwood%20Mac
48,70s,Fleetwood%20Mac
40,blues,Fleetwood%20Mac
33,pop,Fleetwood%20Mac
100,folk,Bob%20Dylan
70,singer-songwriter,Bob%20Dylan
65,classic rock,Bob%20Dylan
53,folk rock,Bob%20Dylan
45,rock,Bob%20Dylan
100,rock,Aerosmith
93,classic rock,Aerosmith
83,hard rock,Aerosmith
38,80s,Aerosmith
30,70s,Aerosmith
100,oldies,Johnny%20Mathis
62,pop,Johnny%20Mathis
62,60s,Johnny%20Mathis
62,male vocalists,Johnny%20Mathis
50,lounge,Johnny%20Mathis
100,country,Kenny%20Rogers
34,classic country,Kenny%20Rogers
23,male vocalists,Kenny%20Rogers
20,oldies,Kenny%20Rogers
100,oldies,Andy%20Williams
84,60s,Andy%20Williams
79,easy listening,Andy%20Williams
64,pop,Andy%20Williams
63,male vocalists,Andy%20Williams
100,pop,Madonna
50,dance,Madonna
50,female vocalists,Madonna
35,80s,Madonna
29,electronic,Madonna
100,country,Kenny%20Chesney
22,modern country,Kenny%20Chesney
10,rock,Kenny%20Chesney
8,pop,Kenny%20Chesney
100,country,Johnny%20Cash
55,folk,Johnny%20Cash
44,singer-songwriter,Johnny%20Cash
30,classic rock,Johnny%20Cash
25,rock,Johnny%20Cash
100,classic rock,Eric%20Clapton
100,blues,Eric%20Clapton
67,rock,Eric%20Clapton
63,blues rock,Eric%20Clapton
48,guitar,Eric%20Clapton
100,hard rock,AC%2FDC
63,classic rock,AC%2FDC
57,rock,AC%2FDC
31,heavy metal,AC%2FDC
21,metal,AC%2FDC
100,classic rock,Billy%20Joel
74,singer-songwriter,Billy%20Joel
72,rock,Billy%20Joel
64,pop,Billy%20Joel
