tag,category
ambient,"classical, instrumental & electronic"
atmospheric,"classical, instrumental & electronic"
chillout,"classical, instrumental & electronic"
classic,"classical, instrumental & electronic"
classical,"classical, instrumental & electronic"
contemporary classical,"classical, instrumental & electronic"
contemporary_classical,"classical, instrumental & electronic"
dance,"classical, instrumental & electronic"
electronic,"classical, instrumental & electronic"
electronica,"classical, instrumental & electronic"
experimental,"classical, instrumental & electronic"
instrumental,"classical, instrumental & electronic"
modern classical,"classical, instrumental & electronic"
modern_classical,"classical, instrumental & electronic"
neo classical,"classical, instrumental & electronic"
neo_classical,"classical, instrumental & electronic"
neoclassical,"classical, instrumental & electronic"
piano,"classical, instrumental & electronic"
disco,rnb & soul
funk,rnb & soul
rnb,rnb & soul
soul,rnb & soul
beatdown,hardcore & metalcore
beatdown hardcore,hardcore & metalcore
beatdown_hardcore,hardcore & metalcore
christian hardcore,hardcore & metalcore
christian metalcore,hardcore & metalcore
christian_hardcore,hardcore & metalcore
christian_metalcore,hardcore & metalcore
deathcore,hardcore & metalcore
emo,hardcore & metalcore
emocore,hardcore & metalcore
grindcore,hardcore & metalcore
hardcore,hardcore & metalcore
melodic hardcore,hardcore & metalcore
melodic metalcore,hardcore & metalcore
melodic_hardcore,hardcore & metalcore
melodic_metalcore,hardcore & metalcore
metalcore,hardcore & metalcore
moshcore,hardcore & metalcore
nyhc,hardcore & metalcore
oldschool hardcore,hardcore & metalcore
oldschool_hardcore,hardcore & metalcore
positive hardcore,hardcore & metalcore
positive_hardcore,hardcore & metalcore
post hardcore,hardcore & metalcore
post_hardcore,hardcore & metalcore
screamo,hardcore & metalcore
straight edge,hardcore & metalcore
straight edge hardcore,hardcore & metalcore
straight_edge,hardcore & metalcore
straight_edge_hardcore,hardcore & metalcore
gangsta rap,hip-hop
hip hop,hip-hop
hip_hop,hip-hop
hip-hop,hip-hop
rap,hip-hop
blues,jazz & blues
blues rock,jazz & blues
blues_rock,jazz & blues
jazz,jazz & blues
alternative metal,metal
alternative_metal,metal
black metal,metal
black_metal,metal
christian metal,metal
christian_metal,metal
death metal,metal
death_metal,metal
groove metal,metal
groove_metal,metal
heavy metal,metal
heavy_metal,metal
melodic death metal,metal
melodic_death_metal,metal
metal,metal
nu metal,metal
nu_metal,metal
post metal,metal
post_metal,metal
progressive metal,metal
progressive_metal,metal
shoegaze,metal
sludge,metal
thrash,metal
thrash metal,metal
thrash_metal,metal
60s,other
70s,other
80s,other
90s,other
american,other
australian,other
baroque,other
british,other
canadian,other
christian,other
composer,other
composers,other
female vocalists,other
female_vocalists,other
folk,other
french,other
german,other
italian,other
male vocalists,other
male_vocalists,other
oldies,other
political,other
progressive,other
romantic,other
singer songwriter,other
singer_songwriter,other
soundtrack,other
swedish,other
usa,other
worship,other
pop,pop
hardcore punk,punk
hardcore_punk,punk
pop punk,punk
pop_punk,punk
punk,punk
punk rock,punk
punk_rock,punk
ska,punk
ska punk,punk
ska_punk,punk
acoustic,rock
alternative,rock
alternative rock,rock
alternative_rock,rock
christian rock,rock
christian_rock,rock
classic rock,rock
classic_rock,rock
folk rock,rock
folk_rock,rock
grunge,rock
hard rock,rock
hard_rock,rock
indie,rock
indie rock,rock
indie_rock,rock
pop rock,rock
pop_rock,rock
post rock,rock
post_rock,rock
progressive rock,rock
progressive_rock,rock
rock,rock
